match_id,city,match_date,match_number,season,venue,toss_winner,team1,team2,toss_decision,match_winner,player_of_match,match_result
335982,Bangalore,18-04-2008,1,2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,46.0,won by 140 runs
1082591,Hyderabad,05-04-2017,1,2017,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,15.0,won by 35 runs
1082592,Pune,06-04-2017,2,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,36.0,won by 7 wickets
1082593,Rajkot,07-04-2017,3,2017,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,field,Kolkata Knight Riders,57.0,won by 10 wickets
1082594,Indore,08-04-2017,4,2017,Holkar Cricket Stadium,Punjab Kings,Punjab Kings,Rising Pune Supergiant,field,Punjab Kings,71.0,won by 6 wickets
1082595,Bengaluru,08-04-2017,5,2017,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,bat,Royal Challengers Bangalore,4.0,won by 15 runs
1082596,Hyderabad,09-04-2017,6,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,field,Sunrisers Hyderabad,22.0,won by 9 wickets
1082597,Mumbai,09-04-2017,7,2017,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,26.0,won by 4 wickets
1082598,Indore,10-04-2017,8,2017,Holkar Cricket Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,70.0,won by 8 wickets
1082599,Pune,11-04-2017,9,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Rising Pune Supergiant,Delhi Capitals,field,Delhi Capitals,180.0,won by 97 runs
1082600,Mumbai,12-04-2017,10,2017,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,33.0,won by 4 wickets
1082601,Kolkata,13-04-2017,11,2017,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,65.0,won by 8 wickets
1082602,Bangalore,14-04-2017,12,2017,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,29.0,won by 4 wickets
1082603,Rajkot,14-04-2017,13,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,field,Gujarat Lions,351.0,won by 7 wickets
1082604,Kolkata,15-04-2017,14,2017,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,58.0,won by 17 runs
1082605,Delhi,15-04-2017,15,2017,Feroz Shah Kotla,Delhi Capitals,Delhi Capitals,Punjab Kings,bat,Delhi Capitals,258.0,won by 51 runs
1082606,Mumbai,16-04-2017,16,2017,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Gujarat Lions,field,Mumbai Indians,26.0,won by 6 wickets
1082607,Bangalore,16-04-2017,17,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,field,Rising Pune Supergiant,37.0,won by 27 runs
1082608,Delhi,17-04-2017,18,2017,Feroz Shah Kotla,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,471.0,won by 4 wickets
1082609,Hyderabad,17-04-2017,19,2017,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,20.0,won by 5 runs
1082610,Rajkot,18-04-2017,20,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1.0,won by 21 runs
1082611,Hyderabad,19-04-2017,21,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,531.0,won by 15 runs
1082612,Indore,20-04-2017,22,2017,Holkar Cricket Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,24.0,won by 8 wickets
1082613,Kolkata,21-04-2017,23,2017,Eden Gardens,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,Gujarat Lions,47.0,won by 4 wickets
1082614,Mumbai,22-04-2017,25,2017,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,32.0,won by 14 runs
