match_id	city	match_date	match_number	season	venue	toss_winner	team1	team2	toss_decision	match_winner	player_of_match	match_result	result_method
1082597	Mumbai	09 April 2017	7	2017	Wankhede Stadium	Mumbai Indians	Mumbai Indians	Kolkata Knight Riders	field	Mumbai Indians	26	won by 4 wickets	NA
1082600	Mumbai	12 April 2017	10	2017	Wankhede Stadium	Mumbai Indians	Mumbai Indians	Sunrisers Hyderabad	field	Mumbai Indians	33	won by 4 wickets	NA
1082606	Mumbai	16 April 2017	16	2017	Wankhede Stadium	Mumbai Indians	Mumbai Indians	Gujarat Lions	field	Mumbai Indians	26	won by 6 wickets	NA
1082614	Mumbai	22 April 2017	25	2017	Wankhede Stadium	Delhi Capitals	Mumbai Indians	Delhi Capitals	field	Mumbai Indians	32	won by 14 runs	NA
1082618	Mumbai	24 April 2017	28	2017	Wankhede Stadium	Mumbai Indians	Mumbai Indians	Rising Pune Supergiant	field	Rising Pune Supergiant	37	won by 3 runs	NA
1082628	Mumbai	01 May 2017	38	2017	Wankhede Stadium	Royal Challengers Bangalore	Mumbai Indians	Royal Challengers Bangalore	bat	Mumbai Indians	25	won by 5 wickets	NA
1082641	Mumbai	11 May 2017	51	2017	Wankhede Stadium	Mumbai Indians	Mumbai Indians	Punjab Kings	field	Punjab Kings	69	won by 7 runs	NA
1136561	Mumbai	07 April 2018	1	2018	Wankhede Stadium	Chennai Super Kings	Mumbai Indians	Chennai Super Kings	field	Chennai Super Kings	1393	won by 1 wickets	NA
1136569	Mumbai	14 April 2018	9	2018	Wankhede Stadium	Delhi Capitals	Mumbai Indians	Delhi Capitals	field	Delhi Capitals	45	won by 7 wickets	NA
1136574	Mumbai	17 April 2018	14	2018	Wankhede Stadium	Royal Challengers Bangalore	Mumbai Indians	Royal Challengers Bangalore	field	Mumbai Indians	25	won by 46 runs	NA
1136583	Mumbai	24 April 2018	23	2018	Wankhede Stadium	Mumbai Indians	Sunrisers Hyderabad	Mumbai Indians	field	Sunrisers Hyderabad	22	won by 31 runs	NA
