player_id	player_name	bat_style	bowl_style	player_full_name
73	MP Stoinis	Right hand Bat	Right arm Medium	Marcus Peter Stoinis
268	RA Tripathi	Right hand Bat	Right arm Medium	Rahul Ajay Tripathi
59	MK Pandey	Right hand Bat	Right arm Medium	Manish Krishnanand Pandey
68	M Vohra	Right hand Bat	Right arm Medium	Manan Vohra
638	NB Singh	Right hand Bat	Right arm Medium	Nathu Bharat Singh
1242	R Vinay Kumar	Right hand Bat	Right arm Medium	Ranganath Vinay Kumar
52	P Kumar	Right hand Bat	Right arm Medium	Praveenkumar Sakat Singh
41	DL Chahar	Right hand Bat	Right arm Medium	Deepak Lokandersingh Chahar
457	AD Mathews	Right hand Bat	Right arm Medium	Angelo Davis Mathews
7	STR Binny	Right hand Bat	Right arm Medium	Stuart Terence Roger Binny
1285	HV Patel	Right hand Bat	Right arm Medium	Harshal Vikram Patel
332	V Kohli	Right hand Bat	Right arm Medium	Virat Kohli
20	B Kumar	Right hand Bat	Right arm Medium	Bhuvneshwar Kumar Singh
1393	DJ Bravo	Right hand Bat	Right arm Medium	Dwayne John Bravo
4960	MR Marsh	Right hand Bat	Right arm Medium	Mitchell Ross Marsh
8355	Mukesh Kumar	Right hand Bat	Right arm Medium	Mukesh Kumar
2353	CJ Dala	Right hand Bat	Right arm Medium	Carl Junior Dala
4097	PK Garg	Right hand Bat	Right arm Medium	Priyam K Garg
7192	Aman Hakim Khan	Right hand Bat	Right arm Medium	Aman Hakim Khan
7496	DJ Mitchell	Right hand Bat	Right arm Medium	Daryl Joseph Mitchell
8191	PN Mankad	Right hand Bat	Right arm Medium	Prerak Nileshkumar Mankad
6519	IC Porel	Right hand Bat	Right arm Medium	Ishan Chandranath Porel
5181	Monu Kumar	Right hand Bat	Right arm Medium	Monu Kumar Singh
9759	Sanvir Singh	Right hand Bat	Right arm Medium	Sanvir Singh
11924	LR Shukla	Right hand Bat	Right arm Medium	Laxmi Ratan Shukla
12012	SB Styris	Right hand Bat	Right arm Medium	Scott Bernard Styris
11963	T Kohli	Right hand Bat	Right arm Medium	Taruwar Sushil Kohli
11949	P Amarnath	Right hand Bat	Right arm Medium	Palani Amarnath
11993	MA Khote	Right hand Bat	Right arm Medium	Musavir Asmat Khote
11921	RT Ponting	Right hand Bat	Right arm Medium	Ricky Thomas Ponting
34126	SS Mundhe	Right hand Bat	Right arm Medium	Shrikant Shrihari Mundhe
15334	RS Sodhi	Right hand Bat	Right arm Medium	Reetinder Singh Sodhi
34959	LJ Wright	Right hand Bat	Right arm Medium	Luke James Wright
14476	R Sathish	Right hand Bat	Right arm Medium	Rajagopal Sathish
13248	AM Salvi	Right hand Bat	Right arm Medium	Aavishkar Madhav Salvi
13651	GR Napier	Right hand Bat	Right arm Medium	Graham Richard Napier
13620	S Tyagi	Right hand Bat	Right arm Medium	Sudeep Tyagi
14206	SS Shaikh	Right hand Bat	Right arm Medium	Shoaib Shabbir Shaikh
15003	PD Collingwood	Right hand Bat	Right arm Medium	Paul David Collingwood
14216	Jaskaran Singh	Right hand Bat	Right arm Medium	Jaskaran Singh Buttar
13986	A Mithun	Right hand Bat	Right arm Medium	Abhimanyu Mithun
13508	AN Ghosh	Right hand Bat	Right arm Medium	Arindam Nanigopal Ghosh
14008	SS Sarkar	Right hand Bat	Right arm Medium	Sourav Subrata Sarkar
13383	PC Valthaty	Right hand Bat	Right arm Medium	Paul Chandrashekar Valthaty
34554	P Awana	Right hand Bat	Right arm Medium	Parvinder Awana
34530	RR Bhatkal	Right hand Bat	Right arm Medium	Raju Ravi Bhatkal
34343	KK Cooper	Right hand Bat	Right arm Medium	Kevon Keston Cooper
13258	VS Malik	Right hand Bat	Right arm Medium	Vikramjeet Singh Malik
76	Sandeep Sharma	Right hand Bat	Right arm Medium	Sandeep Sharma
